Id,Label,timeset,Degree,Weighted Degree,clustering,triangles,eigencentrality,componentnumber,pageranks,Authority,Hub,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
careless,,,11,459,0.581818,32,0.911251,0,0.084986,0.336364,0.336364,0,2,0.761905,0.84375,6.995635
wat,,,8,136,0.642857,18,0.683915,0,0.064272,0.252393,0.252393,0,3,0.64,0.739583,3.967857
saveall,,,8,104,0.678571,19,0.71757,0,0.063235,0.264946,0.264947,0,2,0.666667,0.75,2.286111
phebe,,,6,42,0.733333,11,0.534125,0,0.049599,0.197222,0.197222,0,3,0.592593,0.677083,0.825
saleware,,,10,230,0.644444,29,0.864119,0,0.077244,0.318694,0.318695,1,2,0.727273,0.8125,4.897222
prentice,,,3,6,0.666667,2,0.260905,0,0.029735,0.095695,0.095695,1,2,0.551724,0.59375,0.444444
thrivewell,,,10,130,0.6,27,0.819237,0,0.079418,0.302304,0.302304,0,2,0.727273,0.8125,7.312302
lady,,,14,306,0.406593,37,1,0,0.110466,0.368198,0.368197,0,2,0.888889,0.9375,27.215079
alicia,,,7,273,0.571429,12,0.525409,0,0.060782,0.192952,0.192952,1,2,0.64,0.71875,6.033333
bellamie,,,7,165,0.809524,17,0.649586,0,0.056361,0.239557,0.239557,1,2,0.64,0.71875,0.858333
closet,,,5,81,0.8,8,0.467958,0,0.042592,0.172799,0.172799,0,3,0.571429,0.645833,0.366667
crostill,,,8,121,0.678571,19,0.70957,0,0.062913,0.262278,0.262278,2,2,0.666667,0.75,2.187302
lovely,,,11,174,0.527273,29,0.863705,0,0.08785,0.31825,0.31825,2,2,0.761905,0.84375,14.734524
bellamy_sr,,,7,41,0.809524,17,0.650518,0,0.056393,0.239838,0.239838,2,2,0.64,0.71875,0.87619
page,,,2,2,1,1,0.164189,0,0.022989,0.060131,0.060131,2,3,0.470588,0.520833,0
servant,,,2,4,1,1,0.214147,0,0.02228,0.078869,0.078869,0,3,0.516129,0.552083,0
fitzgerrard,,,3,14,1,3,0.326287,0,0.028883,0.12031,0.120311,2,2,0.551724,0.59375,0
