,character,lines,words,line_rank,word_rank,count_rank
0,1_creditor,2,52,18,17,17
1,2_creditor,2,45,18,19,18
2,alworth,59,1626,6,6,6
3,amble,19,240,12,12,12
4,chambermaid,9,76,15,16,15
5,froth,11,163,14,13,13
6,furnace,44,862,8,8,8
7,greedy,49,1124,7,7,7
8,lady,69,1934,5,4,4
9,lovell,75,1737,4,5,4
10,marall,107,2206,3,3,3
11,margaret,30,858,9,9,9
13,order,29,307,10,11,10
14,overreach,156,5383,1,1,1
15,tapwell,21,761,11,10,10
16,watchall,7,51,16,18,17
17,wellborn,130,2828,2,2,2
18,will-do,6,85,17,15,16
19,woman,12,112,13,14,13
