	Id	Degree	Weighted Degree	eigencentrality	betweenesscentrality	WD_rank	EC_rank	degree_rank	BC_rank	metrics_rank
0	tapwell	3	41	0.203298	0.0	11	15	10	14	12
1	wellborn	17	251	1.0	60.866597999999996	2	1	1	1	1
2	froth	3	22	0.203298	0.0	14	15	10	14	13
3	alworth	12	114	0.897508	7.0345070000000005	6	3	2	3	3
4	amble	8	38	0.679492	0.37267100000000003	12	9	6	12	9
5	order	11	57	0.868973	2.16853	10	4	3	7	6
6	furnace	11	86	0.868973	2.16853	8	4	3	7	5
7	watchall	7	14	0.59127	0.28571399999999997	16	10	7	13	11
8	lady	11	132	0.84849	4.96784	5	5	3	5	4
9	greedy	11	94	0.781774	10.215183	7	6	3	2	4
10	overreach	10	307	0.739708	5.761836	1	7	4	4	4
11	marall	12	211	0.9207700000000001	3.712008	3	2	2	6	3
12	woman	9	23	0.72851	0.9060040000000001	13	8	5	10	9
13	chambermaid	6	18	0.534028	0.0	15	12	8	14	12
14	lovell	7	148	0.560231	1.674879	4	11	7	8	7
15	margaret	5	60	0.331077	1.0	9	13	9	9	10
16	1_creditor	1	4	0.102109	0.0	18	16	11	14	14
17	2_creditor	1	4	0.102109	0.0	18	16	11	14	14
18	will-do	3	12	0.211603	0.8657	17	14	10	11	13
