,character,lines,words,Degree,Weighted Degree,eigencentrality,betweenesscentrality,line_rank,word_rank,degree_rank,WD_rank,BC_rank,EC_rank,count_rank,metrics_rank
0,1_creditor,2,52,1,4,0.102109,0.0,18,17,11,18,14,16,17,14
1,2_creditor,2,45,1,4,0.102109,0.0,18,19,11,18,14,16,18,14
2,alworth,59,1626,12,114,0.897508,7.0345070000000005,6,6,2,6,3,3,6,3
3,amble,19,240,8,38,0.679492,0.372671,12,12,6,12,12,9,12,9
4,chambermaid,9,76,6,18,0.534028,0.0,15,16,8,15,14,12,15,12
5,froth,11,163,3,22,0.203298,0.0,14,13,10,14,14,15,13,13
6,furnace,44,862,11,86,0.868973,2.16853,8,8,3,8,7,4,8,5
7,greedy,49,1124,11,94,0.781774,10.215183,7,7,3,7,2,6,7,4
8,lady,69,1934,11,132,0.84849,4.96784,5,4,3,5,5,5,4,4
9,lovell,75,1737,7,148,0.560231,1.674879,4,5,7,4,8,11,4,7
10,marall,107,2206,12,211,0.92077,3.712008,3,3,2,3,6,2,3,3
11,margaret,30,858,5,60,0.331077,1.0,9,9,9,9,9,13,9,10
12,order,29,307,11,57,0.868973,2.16853,10,11,3,10,7,4,10,6
13,overreach,156,5383,10,307,0.739708,5.761836,1,1,4,1,4,7,1,4
14,tapwell,21,761,3,41,0.203298,0.0,11,10,10,11,14,15,10,12
15,watchall,7,51,7,14,0.59127,0.285714,16,18,7,16,13,10,17,11
16,wellborn,130,2828,17,251,1.0,60.866598,2,2,1,2,1,1,2,1
17,will-do,6,85,3,12,0.211603,0.8657,17,15,10,17,11,14,16,13
18,woman,12,112,9,23,0.72851,0.906004,13,14,5,13,10,8,13,9
