Source,Type,Target,Weight
curti,undirected,witgood,54
creditor_1,undirected,witgood,34
creditor_1,undirected,creditor_2,27
creditor_2,undirected,witgood,16
creditor_1,undirected,creditor_3,8
creditor_3,undirected,witgood,18
host,undirected,witgood,52
lamprey,undirected,witgood,1
hoard,undirected,lamprey,12
hoard,undirected,lucre,33
lamprey,undirected,lucre,8
lucre,undirected,spichcock,1
lamprey,undirected,spichcock,8
lamprey,undirected,sam,1
moneylove,undirected,sam,7
host,undirected,sam,1
gulf,undirected,witgood,3
dampit,undirected,witgood,12
lucre,undirected,servant_2,2
host,undirected,lucre,67
george,undirected,lucre,16
lucre,undirected,witgood,103
lucre,undirected,widow,2
sam,undirected,witgood,2
lucre,undirected,wife,6
wife,undirected,witgood,1
curti,undirected,lucre,22
lucre,undirected,sam,12
sam,undirected,wife,9
hoard,undirected,moneylove,21
creditor_1,undirected,hoard,32
creditor_2,undirected,creditor_3,4
creditor_3,undirected,hoard,4
curti,undirected,hoard,53
hoard,undirected,host,23
creditor_2,undirected,hoard,7
creditor_1,undirected,curti,8
creditor_2,undirected,curti,2
hoard,undirected,witgood,28
hoard,undirected,niece,5
george,undirected,niece,2
drawer,undirected,niece,1
drawer,undirected,hoard,12
curti,undirected,drawer,1
drawer,undirected,witgood,5
drawer,undirected,host,1
curti,undirected,host,5
boy,undirected,curti,4
vintner,undirected,witgood,5
boy,undirected,vintner,1
boy,undirected,witgood,5
lucre,undirected,vintner,2
creditor_1,undirected,lucre,13
audrey,undirected,dampit,43
hoard,undirected,spichcock,1
boy,undirected,creditor_1,4
creditor_1,undirected,host,1
citizen,undirected,witgood,1
citizen,undirected,hoard,1
hoard,undirected,servant,7
hoard,undirected,taylor,6
barber,undirected,hoard,4
hoard,undirected,perfumer,6
fawl,undirected,hoard,4
hoard,undirected,huntsman,4
hoard,undirected,scrivener,1
scrivener,undirected,witgood,1
niece,undirected,witgood,4
dampit,undirected,lamprey,24
dampit,undirected,lancelot,27
lamprey,undirected,lancelot,14
boy,undirected,dampit,1
audrey,undirected,boy,1
audrey,undirected,lancelot,3
hoard,undirected,lancelot,2
dampit,undirected,hoard,7
dampit,undirected,gulf,4
gulf,undirected,lancelot,5
gulf,undirected,lamprey,1
lancelot,undirected,lucre,1
arthur,undirected,hoard,2
hoard,undirected,lady,5
curti,undirected,lady,1
lamprey,undirected,servant,1
hoard,undirected,onesiphorus,20
hoard,undirected,limber,10
hoard,undirected,kix,4
curti,undirected,onesiphorus,2
