Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,clustering,triangles,eigencentrality
curti,,,10,152,2,0.580645,0.638889,23.12619,0.269474,0.269474,1,0.444444,20,0.612201
witgood,,,18,345,2,0.666667,0.75,100.452381,0.394669,0.394667,2,0.254902,39,0.899214
creditor_1,,,8,127,2,0.5625,0.611111,8.392857,0.249352,0.249353,0,0.642857,18,0.56557
creditor_2,,,5,56,3,0.507042,0.550926,0.25,0.176921,0.176922,0,0.9,9,0.401182
creditor_3,,,4,34,3,0.5,0.537037,0,0.148428,0.148429,0,1,6,0.337054
host,,,7,150,3,0.545455,0.592593,4.466667,0.234156,0.234158,2,0.714286,15,0.531578
lamprey,,,9,70,2,0.571429,0.625,20.333333,0.228475,0.228476,3,0.444444,16,0.526335
hoard,,,27,314,2,0.8,0.875,370.752381,0.434395,0.434387,1,0.099715,35,1
lucre,,,14,288,2,0.62069,0.694444,121.709524,0.302817,0.302818,2,0.241758,22,0.692681
spichcock,,,3,10,3,0.507042,0.532407,0,0.11418,0.114182,3,1,3,0.263378
sam,,,6,32,3,0.467532,0.532407,6.483333,0.157396,0.157395,2,0.466667,7,0.358208
moneylove,,,2,28,3,0.467532,0.49537,2.05,0.069971,0.069973,1,0,0,0.161639
gulf,,,4,13,3,0.439024,0.490741,0.2,0.113524,0.113523,3,0.833333,5,0.260548
dampit,,,7,118,3,0.529412,0.583333,19.219048,0.181169,0.181171,3,0.52381,11,0.417839
servant_2,,,1,2,3,0.387097,0.412037,0,0.035805,0.035805,2,0,0,0.081775
george,,,2,18,3,0.4,0.435185,1,0.05051,0.05051,2,0,0,0.11582
widow,,,1,2,3,0.387097,0.412037,0,0.035805,0.035805,2,0,0,0.081775
wife,,,3,16,3,0.444444,0.486111,0,0.10108,0.10108,2,1,3,0.229309
niece,,,4,12,3,0.507042,0.541667,9.85,0.124368,0.12437,1,0.5,3,0.285006
drawer,,,5,20,3,0.514286,0.555556,0.666667,0.17228,0.172281,1,0.8,8,0.391771
boy,,,6,16,3,0.45,0.518519,9.411905,0.148033,0.148033,0,0.4,6,0.335994
vintner,,,3,8,3,0.444444,0.486111,1.05,0.099973,0.099973,2,0.666667,2,0.226834
audrey,,,3,47,3,0.382979,0.425926,0.5,0.057347,0.057347,3,0.666667,2,0.132865
citizen,,,2,2,3,0.486486,0.509259,0,0.098025,0.098027,1,1,1,0.224594
servant,,,2,8,3,0.467532,0.49537,0,0.078375,0.078377,1,1,1,0.181603
taylor,,,1,6,3,0.45,0.472222,0,0.051361,0.051362,1,0,0,0.11935
barber,,,1,4,3,0.45,0.472222,0,0.051361,0.051362,1,0,0,0.11935
perfumer,,,1,6,3,0.45,0.472222,0,0.051361,0.051362,1,0,0,0.11935
fawl,,,1,4,3,0.45,0.472222,0,0.051361,0.051362,1,0,0,0.11935
huntsman,,,1,4,3,0.45,0.472222,0,0.051361,0.051362,1,0,0,0.11935
scrivener,,,2,2,3,0.486486,0.509259,0,0.098025,0.098027,1,1,1,0.224594
lancelot,,,6,52,2,0.545455,0.583333,19.085714,0.155805,0.155806,3,0.533333,8,0.361054
arthur,,,1,2,3,0.45,0.472222,0,0.051361,0.051362,1,0,0,0.11935
lady,,,2,6,3,0.461538,0.490741,0,0.083223,0.083224,1,1,1,0.190755
onesiphorus,,,2,22,3,0.461538,0.490741,0,0.083223,0.083224,1,1,1,0.190755
limber,,,1,10,3,0.45,0.472222,0,0.051361,0.051362,1,0,0,0.11935
kix,,,1,4,3,0.45,0.472222,0,0.051361,0.051362,1,0,0,0.11935
