,character,count_rank,metrics_rank
0,scrivener,20,19
1,witgood,1,2
2,widow,28,21
3,citizen,23,19
4,hoard,2,1
5,arthur,28,20
6,barber,28,20
7,curti,4,4
8,gulf,19,16
9,taylor,26,20
10,george,18,17
11,kix,25,20
12,lucre,2,2
13,lancelot,9,9
14,host,5,7
15,wife,16,16
16,creditor_3,13,13
17,perfumer,26,20
18,servant,22,19
19,creditor_1,6,6
20,lamprey,9,6
21,drawer,16,12
22,vintner,23,16
23,moneylove,13,15
24,dampit,7,7
25,lady,25,19
26,onesiphorus,17,17
27,boy,19,12
28,limber,23,19
29,servant_2,27,21
30,creditor_2,9,11
31,audrey,12,15
32,huntsman,26,20
33,niece,17,13
34,fawl,26,20
35,spichcock,22,17
36,sam,11,11
