,Id,Degree,Weighted Degree,eigencentrality,betweenesscentrality,WD_rank,EC_rank,degree_rank,BC_rank,metrics_rank
0,curti,10,152,0.612201,23.12619,4,4,4,4,4
1,witgood,18,345,0.899214,100.452381,1,2,2,3,2
2,creditor_1,8,127,0.56557,8.392857000000001,6,5,6,10,6
3,creditor_2,5,56,0.40118200000000004,0.25,9,9,9,18,11
4,creditor_3,4,34,0.337054,0.0,12,13,10,20,13
5,host,7,150,0.531578,4.466667,5,6,7,12,7
6,lamprey,9,70,0.526335,20.333333,8,7,5,5,6
7,hoard,27,314,1.0,370.752381,2,1,1,1,1
8,lucre,14,288,0.692681,121.709524,3,3,3,2,2
9,spichcock,3,10,0.263378,0.0,21,16,11,20,17
10,sam,6,32,0.35820799999999997,6.483333,13,12,8,11,11
11,moneylove,2,28,0.161639,2.05,14,23,12,13,15
12,gulf,4,13,0.260548,0.2,19,17,10,19,16
13,dampit,7,118,0.417839,19.219048,7,8,7,6,7
14,servant_2,1,2,0.081775,0.0,25,27,13,20,21
15,george,2,18,0.11582,1.0,17,26,12,15,17
16,widow,1,2,0.081775,0.0,25,27,13,20,21
17,wife,3,16,0.229309,0.0,18,18,11,20,16
18,niece,4,12,0.285006,9.85,20,15,10,8,13
19,drawer,5,20,0.391771,0.666667,16,10,9,16,12
20,boy,6,16,0.335994,9.411905,18,14,8,9,12
21,vintner,3,8,0.226834,1.05,22,19,11,14,16
22,audrey,3,47,0.132865,0.5,11,24,11,17,15
23,citizen,2,2,0.22459400000000002,0.0,25,20,12,20,19
24,servant,2,8,0.181603,0.0,22,22,12,20,19
25,taylor,1,6,0.11935,0.0,23,25,13,20,20
26,barber,1,4,0.11935,0.0,24,25,13,20,20
27,perfumer,1,6,0.11935,0.0,23,25,13,20,20
28,fawl,1,4,0.11935,0.0,24,25,13,20,20
29,huntsman,1,4,0.11935,0.0,24,25,13,20,20
30,scrivener,2,2,0.22459400000000002,0.0,25,20,12,20,19
31,lancelot,6,52,0.361054,19.085714000000003,10,11,8,7,9
32,arthur,1,2,0.11935,0.0,25,25,13,20,20
33,lady,2,6,0.190755,0.0,23,21,12,20,19
34,onesiphorus,2,22,0.190755,0.0,15,21,12,20,17
35,limber,1,10,0.11935,0.0,21,25,13,20,19
36,kix,1,4,0.11935,0.0,24,25,13,20,20
